,track_uri,popularity,danceability,energy,loudness,valence,speechiness,instrumentalness,tempo,album,trackName
411,2Oo8haiY2GU8l7fadnsHef,29,0.851,0.927,-4.643,0.893,0.0946,0.0,130.018,Tha Thela,Mi Les Megala Logia
412,5joNJn9LUvYcamWwa2iYCL,61,0.753,0.91,-2.591,0.825,0.0517,0.0,123.983,NONSTOP,Nonstop
413,3dVvWnj4D8JGkKvo6Hucso,1,0.744,0.422,-8.946,0.493,0.294,0.00011,180.006,TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj)
414,4STaHtfguDMkWbPEo6Fwcx,25,0.598,0.496,-9.309,0.725,0.0804,0.00132,128.06,PARTYNEXTDOOR 3 (P3),Not Nice
415,1QWxddJmOhQb1vDdyTipMR,0,0.817,0.797,-4.395,0.362,0.084,7.77e-06,119.977,Wings,BTS Cypher 4
416,54s6sdPuMjVtdB5d5KFzTC,0,0.614,0.823,-3.48,0.539,0.062,0.0,139.948,The Most Beautiful Moment in Life: Young Forever,Save Me
419,2BQIMF7CyLe2xAKzh74A4C,51,0.749,0.923,-1.014,0.727,0.0277,0.0,99.975,Gee - The First Mini Album,Gee
420,3AMxuq6id3YGB57eWeheZQ,61,0.959,0.508,-7.857,0.346,0.257,9.82e-05,107.998,Don't Rush (feat. DaBaby),Don't Rush (feat. DaBaby)
421,3kzDgmslzUUAPFZzO0YfsG,53,0.788,0.77,-4.768,0.902,0.0579,2.77e-06,121.955,"True Beauty (Original Television Soundtrack), Pt. 1",Call Me Maybe
422,1H7KnK26kc1YyellpbINEn,74,0.49,0.618,-5.655,0.286,0.104,3.77e-06,99.7,Shoot For The Stars Aim For The Moon,The Woo (feat. 50 Cent & Roddy Ricch)
423,2qI0Uchpdc2RkzuhbRnnZ8,1,0.59,0.818,-2.988,0.664,0.0771,0.0,139.925,The Dream Chapter: ETERNITY,Can't You See Me?
424,7mFj0LlWtEJaEigguaWqYh,75,0.814,0.628,-7.178,0.677,0.221,0.0,123.977,Sweetest Pie,Sweetest Pie
