,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe,track_uri,artist_uri,genres
5629,Eric Church,Carolina,Smoke A Little Smoke,1ESipSqVefdknPg5IBKFND,0.77,0.641,10,-6.077,0,0.035,0.00023,0.106,0.639,96.98,191333,4,0.0206,68,1/1/09,chill,1ESipSqVefdknPg5IBKFND,2IvkS5MXK0vPGnwyJsrEyV,country road
5630,Ian Munsick,Horses & Weed,Horses & Weed,08sNpSbnzaPv0dpQvm8sgv,0.522,0.615,9,-4.928,1,0.0313,0.0,0.256,0.314,126.081,237640,3,0.201,45,9/23/22,chill,08sNpSbnzaPv0dpQvm8sgv,7HjGPPtdNuHcK8crc7iNkn,modern country pop
5631,Ian Munsick,Horses & Weed,Horses & Weed,08sNpSbnzaPv0dpQvm8sgv,0.522,0.615,9,-4.928,1,0.0313,0.0,0.256,0.314,126.081,237640,3,0.201,45,9/23/22,chill,08sNpSbnzaPv0dpQvm8sgv,7HjGPPtdNuHcK8crc7iNkn,wyoming roots
5632,Snoop Dogg,Ego Trippin',My Medicine,5jeXDGMNkY8G2bPsHLaNnm,0.687,0.852,1,-6.129,0,0.0866,0.0,0.0634,0.705,96.07,159360,4,0.156,44,1/1/08,chill,5jeXDGMNkY8G2bPsHLaNnm,7hJcb9fa4alzcOq3EaNPoG,g funk
5633,Snoop Dogg,Ego Trippin',My Medicine,5jeXDGMNkY8G2bPsHLaNnm,0.687,0.852,1,-6.129,0,0.0866,0.0,0.0634,0.705,96.07,159360,4,0.156,44,1/1/08,chill,5jeXDGMNkY8G2bPsHLaNnm,7hJcb9fa4alzcOq3EaNPoG,gangster rap
5634,Snoop Dogg,Ego Trippin',My Medicine,5jeXDGMNkY8G2bPsHLaNnm,0.687,0.852,1,-6.129,0,0.0866,0.0,0.0634,0.705,96.07,159360,4,0.156,44,1/1/08,chill,5jeXDGMNkY8G2bPsHLaNnm,7hJcb9fa4alzcOq3EaNPoG,hip hop
5635,Snoop Dogg,Ego Trippin',My Medicine,5jeXDGMNkY8G2bPsHLaNnm,0.687,0.852,1,-6.129,0,0.0866,0.0,0.0634,0.705,96.07,159360,4,0.156,44,1/1/08,chill,5jeXDGMNkY8G2bPsHLaNnm,7hJcb9fa4alzcOq3EaNPoG,pop rap
5636,Snoop Dogg,Ego Trippin',My Medicine,5jeXDGMNkY8G2bPsHLaNnm,0.687,0.852,1,-6.129,0,0.0866,0.0,0.0634,0.705,96.07,159360,4,0.156,44,1/1/08,chill,5jeXDGMNkY8G2bPsHLaNnm,7hJcb9fa4alzcOq3EaNPoG,rap
5637,Snoop Dogg,Ego Trippin',My Medicine,5jeXDGMNkY8G2bPsHLaNnm,0.687,0.852,1,-6.129,0,0.0866,0.0,0.0634,0.705,96.07,159360,4,0.156,44,1/1/08,chill,5jeXDGMNkY8G2bPsHLaNnm,7hJcb9fa4alzcOq3EaNPoG,west coast rap
5638,Kacey Musgraves,Same Trailer Different Park,Follow Your Arrow,4CLPNURPcKztF9RRdcWLGP,0.448,0.649,5,-5.925,1,0.0434,0.0,0.0976,0.575,195.925,199640,4,0.418,67,1/1/13,chill,4CLPNURPcKztF9RRdcWLGP,70kkdajctXSbqSMJbQO424,classic texas country
