,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe,track_uri,artist_uri,genres
5481,SAULT,5,Masterpiece,07qj9w93jk1eA2TGAd6kxj,0.752,0.45,7,-5.2,1,0.0755,0.269,0.0925,0.836,76.49,344681,4,0.65,61,5/5/19,chill,07qj9w93jk1eA2TGAd6kxj,1uRxRKC7d9zwYGSRflTKDR,indie soul
5482,SAULT,5,Masterpiece,07qj9w93jk1eA2TGAd6kxj,0.752,0.45,7,-5.2,1,0.0755,0.269,0.0925,0.836,76.49,344681,4,0.65,61,5/5/19,chill,07qj9w93jk1eA2TGAd6kxj,1uRxRKC7d9zwYGSRflTKDR,pop soul
5483,The Silhouettes Project,The Silhouettes Project,Closer,0pMs1gXODWwGQ1pK3qKVtz,0.45,0.358,1,-12.836,1,0.0686,0.000269,0.254,0.213,85.269,201933,4,0.499,59,12/11/20,chill,0pMs1gXODWwGQ1pK3qKVtz,3CJEpzlVzfyLTpKJlpKdHw,indie r&b
5484,The Silhouettes Project,The Silhouettes Project,Closer,0pMs1gXODWwGQ1pK3qKVtz,0.45,0.358,1,-12.836,1,0.0686,0.000269,0.254,0.213,85.269,201933,4,0.499,59,12/11/20,chill,0pMs1gXODWwGQ1pK3qKVtz,3CJEpzlVzfyLTpKJlpKdHw,uk alternative hip hop
5485,Terrace Martin,Dinner Party,From My Heart and My Soul (feat. Phoelix),3Czw867MbvBiyEd1QCvjmq,0.696,0.538,11,-6.808,0,0.0904,0.157,0.108,0.615,93.07,150496,4,0.117,59,7/10/20,chill,3Czw867MbvBiyEd1QCvjmq,7MNEVabc4cs19CbzAFZmXz,alternative r&b
5486,Terrace Martin,Dinner Party,From My Heart and My Soul (feat. Phoelix),3Czw867MbvBiyEd1QCvjmq,0.696,0.538,11,-6.808,0,0.0904,0.157,0.108,0.615,93.07,150496,4,0.117,59,7/10/20,chill,3Czw867MbvBiyEd1QCvjmq,7MNEVabc4cs19CbzAFZmXz,indie soul
5487,Joesef,I Wonder Why,I Wonder Why,5Jwh9paNfKbgeVxVv5cCQp,0.619,0.654,0,-8.541,0,0.0425,0.00332,0.0604,0.726,80.0,228348,4,0.209,58,7/16/20,chill,5Jwh9paNfKbgeVxVv5cCQp,28EyduqESEOVMO6vglvaUZ,indie soul
5488,Joesef,I Wonder Why,I Wonder Why,5Jwh9paNfKbgeVxVv5cCQp,0.619,0.654,0,-8.541,0,0.0425,0.00332,0.0604,0.726,80.0,228348,4,0.209,58,7/16/20,chill,5Jwh9paNfKbgeVxVv5cCQp,28EyduqESEOVMO6vglvaUZ,uk alternative pop
5489,GoGo Morrow,Ready,Don't Stop,6stmHwlMLQbE8Z2N831ri6,0.64,0.58,4,-5.533,0,0.0581,0.000651,0.122,0.277,80.522,151664,4,0.366,58,10/19/22,chill,6stmHwlMLQbE8Z2N831ri6,5DdULwXLSGsEN2nMNoeaCO,
5490,Alex Isley,Marigold,Love Again,6ZwNOYjJ06J77YF1ggXtaT,0.596,0.458,9,-8.556,0,0.0677,0.000125,0.0812,0.353,99.381,154800,4,0.814,58,3/30/22,chill,6ZwNOYjJ06J77YF1ggXtaT,7E2ioKxoxI2J94tUkIx6As,alternative r&b
5491,Hailey Knox,AVAILABLE FOR ME,AVAILABLE FOR ME,287fJ5M4YHE9JtVzKrrm5M,0.785,0.382,7,-6.407,1,0.0593,0.000267,0.153,0.509,126.985,141732,4,0.692,58,1/20/23,chill,287fJ5M4YHE9JtVzKrrm5M,6PgkNi6EyAfgiKtFwAwvbH,nyc pop
5492,Masego,Masego,Black Anime,35wau9leYsDWBTW4A0ISyL,0.801,0.478,8,-8.79,0,0.0504,1.15e-05,0.711,0.517,122.003,260670,4,0.0977,60,3/3/23,chill,35wau9leYsDWBTW4A0ISyL,3ycxRkcZ67ALN3GQJ57Vig,alternative r&b
5493,Masego,Masego,Black Anime,35wau9leYsDWBTW4A0ISyL,0.801,0.478,8,-8.79,0,0.0504,1.15e-05,0.711,0.517,122.003,260670,4,0.0977,60,3/3/23,chill,35wau9leYsDWBTW4A0ISyL,3ycxRkcZ67ALN3GQJ57Vig,indie soul
