,track_uri,popularity,danceability,energy,loudness,valence,acousticness,speechiness,instrumentalness,tempo,genres,artist_uri
191,7CZyCXKG6d5ALeq41sLzbw,76,0.499,0.8,-2.665,0.272,0.0906,0.0502,0.0,139.919,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
192,73U20lYCzqwGLLk4V7u3ul,25,0.483,0.329,-7.407,0.312,0.956,0.0503,0.0,128.459,"['alternative r&b', 'british soul', 'indie soul', 'neo soul', 'pop soul', 'soul']",2RP4pPHTXlQpDnO9LvR7Yt
193,3u5bTqHMM1P34ZkbwzdckV,6,0.614,0.126,-9.403,0.351,0.911,0.0376,0.0,119.945,['pop'],5JZ7CnR6gTvEMKX4g70Amv
194,52wTKeWYVIAtSESw0haRB1,0,0.524,0.505,-8.256,0.306,0.0121,0.275,1.28e-06,189.978,"['canadian hip hop', 'canadian trap', 'melodic rap', 'r&b', 'rap', 'toronto rap', 'trap']",2jku7tDXc6XoB6MO2hFuqg
195,0TRmtiR9q6XnYDzXmoMpGC,65,0.609,0.668,-4.515,0.212,0.287,0.0308,0.0104,82.975,['electro'],2DYDFBqoaBP2i9XrTGpOgF
196,4MPTj8lMMvxLwT3EwuXFop,1,0.449,0.599,-4.892,0.165,0.211,0.0369,0.0,134.144,"['canadian contemporary r&b', 'canadian pop', 'pop']",1Xyo4u8uXC1ZmMpatF05PJ
197,0pWoTbjdFZrB4hPbNDOPzh,0,0.254,0.657,-4.995,0.352,0.19,0.0385,0.0,151.045,['pop'],5YGY8feqx7naU7z4HrwZM6
198,4qWCFTuNnmGNdY4egtb4ZY,64,0.652,0.643,-5.667,0.109,0.318,0.0353,2.87e-06,104.932,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
199,0MrRAUcB8AZiB9ue2VOBYe,65,0.606,0.775,-4.269,0.307,0.262,0.0671,0.0,164.02,"['dfw rap', 'melodic rap', 'pop', 'rap']",246dkjvS1zLTtiykXe5h60
200,6A1Fp35pdTxUD5mb5BpjJE,0,0.503,0.226,-12.198,0.24,0.843,0.0416,0.0,160.046,['v-pop'],1dmaHHd1Xbd85cT1egYb4w
201,3cYuUgWTz0qBGnR877SJXd,23,0.576,0.75,-5.577,0.421,0.556,0.0525,0.0,160.079,[],6DUJlV5wLmdSISCoDL2GWe
202,2XhWx5K2hFm1lsKSWa71rg,0,0.782,0.572,-7.467,0.244,0.0516,0.0385,0.0,120.021,"['melodic rap', 'mississippi hip hop', 'rap', 'trap']",7iZtZyCzp3LItcw1wtPI3D
