,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe
0,Miley Cyrus,Flowers,Flowers,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,5.15E-06,0.0322,0.646,117.999,200455,4,0.0632,98,1/13/23,upbeat
1,Rema,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.000669,0.114,0.802,106.999,239318,4,0.382,95,8/25/22,upbeat
2,David Guetta,I'm Good (Blue),I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,0.561,0.965,7,-3.673,0,0.0343,7.07E-06,0.371,0.304,128.04,175238,4,0.00383,94,8/26/22,upbeat
3,Stephen Sanchez,Until I Found You (Em Beihold Version),Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0,0.202,0.342,101.19,176440,3,0.777,93,4/22/22,upbeat
4,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.000745,0.0546,0.825,139.994,148486,4,0.0826,93,5/13/22,upbeat
5,Harry Styles,As It Was,As It Was,4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.00101,0.311,0.662,173.93,167303,4,0.342,92,3/31/22,upbeat
6,Ruth B.,Safe Haven,Dandelions,2eAvDnpXP5W0cVtiI0PUxV,0.609,0.692,1,-2.958,1,0.0259,0,0.0864,0.454,116.959,233720,3,0.0157,90,5/5/17,upbeat
7,Rosa Linn,SNAP,SNAP,76OGwb5RA9h4FxQPT33ekc,0.565,0.636,0,-8.198,1,0.0638,9.90E-06,0.447,0.525,170.01,179551,4,0.107,90,3/19/22,upbeat
8,Meghan Trainor,Takin' It Back,Made You Look,0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,1,0.0665,1.92E-06,0.0771,0.884,144.981,134256,4,0.345,90,10/21/22,upbeat
9,Sabrina Carpenter,emails i can't send,Nonsense,6dgUya35uo964z7GZXM07g,0.74,0.697,8,-4.912,1,0.034,0,0.224,0.732,138.992,163648,4,0.0268,89,7/15/22,upbeat
10,Glass Animals,Dreamland,Heat Waves,3USxtqRwSYz57Ewm6wWRMp,0.761,0.525,11,-6.9,1,0.0944,6.70E-06,0.0921,0.531,80.87,238805,4,0.44,89,8/7/20,upbeat
11,Taylor Swift,Midnights,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,0.733,0.436,10,-10.489,1,0.08,0.000573,0.157,0.0976,96.985,202396,4,0.258,89,10/21/22,upbeat
12,Nicky Youre,Sunroof,Sunroof,4h4QlmocP3IuwYEj2j14p8,0.768,0.714,10,-5.11,1,0.0401,0,0.15,0.842,131.443,163026,4,0.352,88,12/3/21,upbeat
13,Mae Stephens,If We Ever Broke Up,If We Ever Broke Up,6maTPqynTmrkWIralgGaoP,0.898,0.732,7,-3.982,1,0.0427,1.29E-05,0.0908,0.96,115.955,142759,4,0.621,88,2/10/23,upbeat
14,Harry Styles,Fine Line,Watermelon Sugar,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0,0.335,0.557,95.39,174000,4,0.122,89,12/13/19,upbeat
15,Post Malone,Twelve Carat Toothache,I Like You (A Happier Song) (with Doja Cat),0O6u0VJ46W86TxN9wgyqDj,0.733,0.67,5,-6.009,1,0.0751,0,0.121,0.472,100.964,192841,4,0.121,87,6/3/22,upbeat
16,Ed Sheeran,=,Shivers,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0,0.0424,0.822,141.02,207853,4,0.281,87,10/29/21,upbeat
17,Lost Frequencies,Where Are You Now,Where Are You Now,3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.000411,0.172,0.262,120.966,148197,4,0.515,87,7/30/21,upbeat
18,Imagine Dragons,Mercury - Acts 1 & 2,Bones,54ipXppHLA8U4yqpOFTUhr,0.772,0.75,5,-3.67,0,0.0455,0,0.074,0.587,114.061,165265,4,0.0201,87,7/1/22,upbeat
19,The Kid LAROI,STAY (with Justin Bieber),STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0,0.103,0.478,169.928,141806,4,0.0383,87,7/9/21,upbeat
20,Elton John,Cold Heart (PNAU Remix),Cold Heart - PNAU Remix,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,4.19E-05,0.0952,0.942,116.032,202735,4,0.034,86,8/13/21,upbeat
21,Marshmello,Leave Before You Love Me,Leave Before You Love Me (with Jonas Brothers),4qu63nuBpdn0qHUHuObEj1,0.721,0.738,7,-4.77,1,0.0403,4.41E-06,0.118,0.637,119.976,154983,4,0.00226,84,5/21/21,upbeat
22,Lil Nas X,MONTERO,THATS WHAT I WANT,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0,0.0486,0.546,87.981,143901,4,0.00614,84,9/17/21,upbeat
23,Harry Styles,Harry's House,Late Night Talking,1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0,0.106,0.901,114.996,177955,4,0.298,88,5/20/22,upbeat
24,George Ezra,Gold Rush Kid,Green Green Grass,4N5s8lPTsjI9EGP7K4SXzB,0.685,0.738,8,-4.413,1,0.0595,0,0.128,0.8,112.972,167614,4,0.0695,83,6/10/22,upbeat
25,Sia,This Is Acting (Deluxe Version),Unstoppable,1yvMUkIOTeUNtNWlWRgANS,0.468,0.779,9,-4.839,1,0.0779,0.000373,0.101,0.26,173.799,217747,4,0.112,83,10/21/16,upbeat
26,The Weeknd,Save Your Tears (Remix),Save Your Tears (with Ariana Grande) (Remix),37BZB0z9T8Xu7U3e65qxFy,0.65,0.825,0,-4.645,1,0.0325,2.44E-05,0.0936,0.593,118.091,191014,4,0.0215,83,4/23/21,upbeat
27,Ed Sheeran,Celestial,Celestial,4zrKN5Sv8JS5mqnbVcsul7,0.574,0.852,2,-1.248,1,0.0397,0,0.161,0.501,123.038,209027,4,0.0529,83,9/29/22,upbeat
28,P!nk,TRUSTFALL,TRUSTFALL,4FWbsd91QSvgr1dSWwW51e,0.636,0.888,8,-3.889,1,0.0945,0.000216,0.147,0.25,122.032,237200,4,0.00162,83,1/27/23,upbeat
29,Coldplay,My Universe,My Universe,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9,-6.39,1,0.0402,0,0.2,0.443,104.988,228000,4,0.00813,83,9/24/21,upbeat
30,Marshmello,Numb,Numb,10xV5l9nhLvFpR8mqzs0bL,0.912,0.774,0,-4.673,0,0.0455,0.0127,0.101,0.632,119.966,155589,4,0.121,83,6/10/22,upbeat
31,Sam Smith,Gloria,I'm Not Here To Make Friends,3i0FkJYlU4MFfYkjFHXXAM,0.698,0.895,0,-4.439,1,0.0628,1.45E-05,0.409,0.838,114.914,229605,4,0.172,82,1/27/23,upbeat
32,Lizzo,About Damn Time,About Damn Time,1PckUlxKqWQs3RlWXVBLw3,0.836,0.743,10,-6.305,0,0.0656,0,0.335,0.722,108.966,191822,4,0.0995,82,4/14/22,upbeat
33,Charlie Puth,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),0mBP9X2gPCuapvpZ7TGDk3,0.881,0.592,2,-4.898,1,0.0324,1.32E-05,0.0901,0.719,101.058,154487,4,0.619,82,6/24/22,upbeat
34,OneRepublic,Sunshine,Sunshine,5r43qanLhUCdBj8HN3fa6B,0.697,0.875,5,-4.621,1,0.034,0,0.28,0.774,140.069,163855,4,0.137,82,11/10/21,upbeat
35,BØRNS,Dopamine,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627,0,0.0533,0.00137,0.26,0.518,120.041,218107,4,0.00543,82,10/16/15,upbeat
36,Camila Cabello,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,1,0.0401,0,0.333,0.956,94.996,206071,4,0.182,82,3/4/22,upbeat
37,Meghan Trainor,Takin' It Back (Deluxe),Mother,69ZzhvHnSSnzMO8SMYEJWb,0.751,0.661,9,-6.131,1,0.0871,0,0.456,0.761,120.052,147481,4,0.124,81,3/10/23,upbeat
38,Jonas Brothers,Waffle House,Waffle House,5iE3eUH2WGCXcE2xr6DEmU,0.729,0.763,10,-4.407,1,0.0363,1.00E-06,0.192,0.864,126.002,145441,4,0.033,81,4/7/23,upbeat
39,Elton John,Hold Me Closer,Hold Me Closer,72yP0DUlWPyH8P7IoxskwN,0.667,0.75,0,-4.602,1,0.0906,0.000198,0.197,0.486,126.041,202246,4,0.0746,81,8/26/22,upbeat
40,Lizzo,Special,2 Be Loved (Am I Ready),2rmwqU7yzTvzkiaRV53DpT,0.721,0.769,7,-4.111,1,0.105,0,0.0817,0.915,155.932,187108,4,0.0922,81,7/15/22,upbeat
41,Maroon 5,JORDI (Deluxe),Beautiful Mistakes (feat. Megan Thee Stallion),5zFglKYiknIxks8geR8rcL,0.713,0.676,10,-5.483,1,0.027,0,0.154,0.721,99.048,227395,4,0.0377,80,6/11/21,upbeat
42,NEIKED,Better Days (NEIKED x Mae Muller x Polo G),Better Days (NEIKED x Mae Muller x Polo G),6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,2.54E-06,0.0921,0.699,110.054,160657,4,0.0018,79,9/24/21,upbeat
43,Charlie Puth,CHARLIE,Light Switch,1jEBSDN5vYViJQr78W7jr2,0.689,0.627,6,-5.692,1,0.308,0.000321,0.0905,0.905,184.008,187704,4,0.105,81,10/6/22,upbeat
44,Shawn Mendes,Summer Of Love,Summer of Love (Shawn Mendes & Tainy),0z8hI3OPS8ADPWtoCjjLl6,0.776,0.808,11,-4.501,1,0.117,0.000127,0.103,0.494,123.988,184104,4,0.0297,79,8/20/21,upbeat
45,Alesso,When I’m Gone (with Katy Perry),When I’m Gone (with Katy Perry),5902W4uHWzhtOff1UK7the,0.685,0.886,0,-4.179,1,0.034,0,0.481,0.615,125.034,161267,4,0.028,78,12/29/21,upbeat
46,Niall Horan,Meltdown,Meltdown,52Rfxu5AUNMV1qhhC2ZCkb,0.493,0.855,11,-4.029,1,0.0967,0,0.38,0.754,179.039,153038,4,0.00673,78,4/28/23,upbeat
47,P!nk,Never Gonna Not Dance Again,Never Gonna Not Dance Again,6sZo5nJIsFWXefRCCexpx0,0.668,0.802,5,-4.005,0,0.0917,0,0.163,0.769,113.796,225789,4,0.0273,77,11/4/22,upbeat
48,PUBLIC,Make You Mine,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,0.606,0.799,9,-4.452,1,0.0261,0,0.15,0.638,103.014,232907,4,0.0128,77,8/9/19,upbeat
49,BANNERS,Where The Shadow Ends,Someone To You,2f0pn9DkEJwAzXApnFh5cr,0.52,0.903,2,-5.497,1,0.042,0,0.254,0.652,74.988,219801,4,0.00517,77,10/4/19,upbeat
50,Em Beihold,Numb Little Bug,Numb Little Bug,3o9kpgkIcffx0iSwxhuNI2,0.742,0.527,8,-6.892,0,0.0769,0,0.25,0.638,84.974,169238,4,0.327,76,1/28/22,upbeat
51,Hailee Steinfeld,Coast,Coast (feat. Anderson .Paak),1l4iQsOZ5sOXZPMQLvouaB,0.701,0.875,11,-4.1,1,0.0757,7.32E-06,0.137,0.84,111.976,166720,4,0.0262,76,7/29/22,upbeat
52,Dua Lipa,Levitating (feat. DaBaby),Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0,0.0674,0.915,102.977,203064,4,0.00883,76,10/1/20,upbeat
53,Charlie Puth,That’s Not How This Works (feat. Dan + Shay),That’s Not How This Works (feat. Dan + Shay),28a0aMV1OKoyNiCJuNsWrY,0.584,0.576,9,-4.557,1,0.0519,0,0.212,0.432,170.026,165620,4,0.507,81,3/31/23,upbeat
54,Jax,Victoria’s Secret,Victoria's Secret,4svaKoxMMP7ImmKrD5hfQu,0.586,0.556,6,-7.639,1,0.0592,0,0.0836,0.517,167.018,176125,4,0.00655,76,6/30/22,upbeat
55,Ritt Momney,Put Your Records On,Put Your Records On,6AGOKlMZWLCaEJGnaROtF9,0.399,0.491,6,-10.778,0,0.0538,0.00089,0.11,0.151,91.066,210463,4,0.0563,76,4/24/20,upbeat
56,Tai Verdes,TV,AOK,1sx0XsWUusUoPstbvokZjP,0.731,0.626,11,-6.919,1,0.0805,0,0.183,0.862,82.488,173640,4,0.125,76,5/20/21,upbeat
57,Kygo,Woke Up in Love,Woke Up in Love,21H0pUV2uPIPcFnFhgTBjo,0.643,0.585,2,-5.994,1,0.0369,0,0.0927,0.188,106.015,216873,4,0.225,75,9/9/22,upbeat
58,Walk Off the Earth,My Stupid Heart,My Stupid Heart,3UZDl7g2r84o1b5marUjfK,0.745,0.681,7,-7.91,1,0.0361,0,0.164,0.613,115,160300,4,0.0696,74,1/27/23,upbeat
59,Khalid,Softest Touch,Softest Touch,42QLP7Z6KvkOV7vYr8RaLD,0.809,0.631,4,-7.099,1,0.0423,0.00142,0.134,0.753,107.05,164282,4,0.0659,74,3/31/23,upbeat
60,Macklemore,BEN,NO BAD DAYS (feat. Collett),5C8ySsx3AT121g24uYR823,0.769,0.858,8,-6.01,1,0.15,0.0186,0.157,0.86,160.049,173453,4,0.117,74,3/3/23,upbeat
61,Adele,30,Can I Get It,6w8ZPYdnGajyfPddTWdthN,0.703,0.68,9,-6.118,0,0.0431,0,0.178,0.536,97.985,210384,4,0.0171,74,11/19/21,upbeat
62,Justin Bieber,Anyone,Anyone,31qCy5ZaophVA81wtlwLc4,0.686,0.538,2,-8.026,1,0.0345,3.13E-06,0.113,0.584,115.884,190779,4,0.181,74,1/1/21,upbeat
63,MAX,Butterflies,Butterflies,7eQHxigpuDJjCG50JyzU8v,0.7,0.613,11,-4.041,1,0.0408,0,0.0887,0.42,88.084,191250,4,0.385,73,6/25/21,upbeat
64,AJR,OK ORCHESTRA,World's Smallest Violin,3jHBgKdLCf46aP3HRI0WYv,0.68,0.696,5,-6.977,1,0.051,0,0.607,0.684,115.962,180743,4,0.116,73,3/26/21,upbeat
65,Tones And I,Welcome To The Madhouse,Fly Away,2zBDKzqa6sdxeI0fC6OWIC,0.806,0.513,4,-6.208,1,0.0685,0,0.217,0.503,124.988,178157,4,0.217,72,7/16/21,upbeat
66,Nelly,Lil Bit,Lil Bit,0NmuYnjETG3u3qx0OmEJev,0.707,0.689,4,-7.097,0,0.0387,0,0.383,0.41,119.987,195962,4,0.0255,70,10/23/20,upbeat
67,Dan + Shay,Good Things,You,2xPV95cfbyusygMTxpa3SW,0.544,0.572,0,-6.205,1,0.0319,0,0.234,0.52,169.885,196253,4,0.118,69,8/13/21,upbeat
68,Jason Mraz,I Feel Like Dancing,I Feel Like Dancing,4xYlpJPENfM4DT0rUYFqSP,0.812,0.706,4,-6.054,0,0.0709,0,0.107,0.621,112.002,218702,4,0.0412,68,2/15/23,upbeat
69,John Legend,LEGEND,Wonder Woman,3BLWGYOcy1svvsBByeFxLh,0.628,0.476,0,-4.947,1,0.0352,0,0.121,0.336,147.915,168562,4,0.417,68,9/9/22,upbeat
70,Meghan Trainor,Don't I Make It Look Easy,Don't I Make It Look Easy,0Bm2kjXM4w6JlwS6jpTmfO,0.628,0.742,0,-4.51,1,0.0668,0,0.274,0.829,148.756,154888,4,0.0624,68,9/9/22,upbeat
71,Vance Joy,Clarity,Clarity,5c6lM2zjAF6MFoD8C1hiBr,0.552,0.873,0,-6.065,1,0.0464,0.000273,0.0966,0.62,125.059,227240,4,0.00137,67,4/6/22,upbeat
72,Surfaces,Wave of You,Wave of You,5Ne1q9Hv3l2NHBA3Agt8WT,0.695,0.656,1,-6.038,1,0.0489,0,0.267,0.346,90.986,213842,4,0.057,67,4/9/21,upbeat
73,Dua Lipa,Future Nostalgia,Love Again,1imMjt1YGNebtrtTAprKV7,0.659,0.667,11,-4.668,0,0.0339,2.85E-05,0.1,0.468,115.982,258004,4,0.00173,66,3/27/20,upbeat
74,Beyoncé,RENAISSANCE,CUFF IT,3IHaiorYWOcr8Kzs85PWF7,0.745,0.729,4,-5.573,0,0.221,0,0.0589,0.629,115.028,225389,4,0.0558,66,7/29/22,upbeat
75,Andy Grammer,Joy,Joy,4Hn4zAkBUaNnT8m9p7cYaf,0.675,0.793,2,-6,1,0.157,0,0.103,0.233,111.907,193621,4,0.108,66,1/28/22,upbeat
76,Tom Grennan,Little Bit of Love (Acoustic),Little Bit of Love,78q4ESvMkPVJzHAV11LAGE,0.689,0.706,1,-4.48,0,0.0312,0,0.105,0.623,106.52,226268,4,0.0833,65,1/29/21,upbeat
77,Latto,Big Energy,Big Energy,5lHxARJJrZc3ss4ZVmGWfz,0.935,0.81,11,-3.838,0,0.117,0,0.349,0.787,106.028,173182,4,0.0401,64,9/24/21,upbeat
78,Ice Spice,Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0,0.101,0.742,147.991,172125,4,0.14,86,4/14/23,upbeat
79,Kali Uchis,Moonlight,Moonlight,2i2gDpKKWjvnRTOZRhaPh2,0.639,0.723,7,-6.462,0,0.0532,0,0.167,0.878,136.872,187558,4,0.511,86,2/24/23,upbeat
80,Coi Leray,Players,Players,6UN73IYd0hZxLi8wFPMQij,0.954,0.516,6,-5.817,1,0.16,7.54E-06,0.0504,0.624,105.001,139560,4,0.03,92,11/30/22,upbeat
81,Lah Pat,Rodeo (Remix),Rodeo (Remix),035MzEbx4z2DxuRDymHXbv,0.752,0.56,11,-5.375,1,0.122,0,0.114,0.848,120.015,245959,4,0.295,75,2/24/23,upbeat
82,Kim Petras,Alone,Alone (with Nicki Minaj),7kOletJ0Q5H4MWe7cfeZXP,0.681,0.513,3,-6.643,0,0.0388,0,0.125,0.167,136.985,185113,4,0.069,80,4/21/23,upbeat
83,SZA,Kill Bill (feat. Doja Cat),Kill Bill (feat. Doja Cat),0CrcwVLUe8wzLUIXgjXVZJ,0.629,0.744,5,-6.124,0,0.0409,0.247,0.194,0.451,89.021,175837,4,0.0769,86,4/14/23,upbeat
84,Rihanna,Bitch Better Have My Money,Bitch Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq,0.781,0.728,1,-4.981,1,0.0621,1.94E-06,0.257,0.395,102.99,219306,4,0.0509,82,3/26/15,upbeat
85,Baby Tate,"Hey, Mickey!","Hey, Mickey!",7r6uppLBApzJPMpDmdFoi4,0.943,0.625,9,-7.85,1,0.0699,0,0.0981,0.725,134.965,173533,4,0.25,70,3/24/23,upbeat
86,Coi Leray,Bops,Bops,72vMwCjJuRRa1r0bhFBbE1,0.938,0.613,11,-7.959,0,0.22,0.000162,0.0982,0.275,99.938,128667,4,0.0312,70,4/27/23,upbeat
87,PinkPantheress,Boy's a liar Pt. 2,Boy's a liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.000128,0.248,0.857,132.962,131013,4,0.252,96,2/3/23,upbeat
88,ROSALÍA,MOTOMAMI +,DESPECHÁ,53tfEupEzQRtVFOeZvk7xq,0.914,0.622,7,-6.538,1,0.0892,1.68E-05,0.0632,0.77,130.04,156788,4,0.146,84,9/9/22,upbeat
89,Doja Cat,Amala,Wine Pon You (feat. Konshens),2s4AcE9n80mSHl87lp4gIm,0.797,0.444,9,-7.738,0,0.0411,0.00126,0.107,0.138,95.035,219000,4,0.304,78,3/30/18,upbeat
90,Nicki Minaj,Red Ruby Da Sleeze,Red Ruby Da Sleeze,4ZYAU4A2YBtlNdqOUtc7T2,0.696,0.733,1,-6.181,1,0.256,0,0.111,0.292,98.355,214445,4,0.115,83,3/3/23,upbeat
91,Icandy,Keep Dat Nigga,Keep Dat Nigga,06eobTXs90ICbtbxhmgviZ,0.976,0.682,9,-7.3,0,0.0655,0,0.0769,0.79,114.026,138946,4,0.0754,72,11/24/22,upbeat
92,Megan Thee Stallion,Traumazine,Her,5hHvFrMnwic82WwRLr4WY0,0.945,0.848,1,-4.76,1,0.326,3.31E-05,0.101,0.819,119.918,137107,4,0.374,71,8/12/22,upbeat
93,Kali,Area Codes,Area Codes,7sliFe6W30tPBPh6dvZsIH,0.823,0.388,1,-10.867,1,0.491,0,0.0876,0.507,154.569,139326,4,0.0187,75,3/17/23,upbeat
94,SZA,SOS,Low,2GAhgAjOhEmItWLfgisyOn,0.698,0.546,0,-7.234,0,0.0559,0.00314,0.16,0.335,145.044,181080,4,0.425,87,12/9/22,upbeat
95,Latto,Put It On Da Floor,Put It On Da Floor,1HYfsZnq3EXwK7SV8tYPoT,0.565,0.561,1,-7.795,1,0.484,0,0.499,0.448,166.707,181437,4,0.0241,68,4/21/23,upbeat
96,RAYE,Flip A Switch. (feat. Coi Leray) [Remix],Flip A Switch. (feat. Coi Leray) - Remix,72b7GzsnUAjsk5I56hLkjp,0.697,0.538,1,-5.826,0,0.0455,2.95E-05,0.208,0.49,94.049,201360,4,0.0422,66,4/21/23,upbeat
97,Justine Skye,Collide (feat. Tyga),Collide (feat. Tyga),22I3h5AOENlH4CqXJsEbFR,0.418,0.31,11,-9.869,0,0.0625,0,0.216,0.131,139.614,260170,4,0.095,82,8/25/14,upbeat
98,Summer Walker,Life On Earth - EP,White Tee (with NO1-NOAH),5m0eMnsWwzgGsUxe1mhFYR,0.791,0.366,1,-8.337,1,0.0966,7.24E-06,0.106,0.335,124.878,211373,4,0.744,80,7/10/20,upbeat
99,Ari Abdul,You,You,4NZkwpYuSVe8ki1UH4xNtz,0.615,0.662,2,-6.103,1,0.0408,2.48E-06,0.165,0.49,96.032,150000,4,0.109,63,4/21/23,upbeat
100,Baby Tate,Mani/Pedi,Sl*t Him Out Again (feat. Kali),1rFSc82CUMlFewowdZPRT8,0.929,0.582,2,-6.069,1,0.293,0,0.101,0.397,94.985,233150,4,0.134,55,9/30/22,upbeat
101,Big Boss Vette,Pretty Girls Walk (Remix),Pretty Girls Walk (with Coi Leray) - Remix,2g9dhCaJiK7D0FOgZ9vJlR,0.922,0.675,9,-7.15,1,0.0932,0.000881,0.0637,0.79,90.006,140053,4,0.0272,68,3/1/23,upbeat
102,Beyoncé,RENAISSANCE,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,0.78,0.689,7,-5.668,1,0.141,9.69E-06,0.0698,0.642,115.042,225389,4,0.0368,89,7/29/22,upbeat
103,Cassie,Cassie (U.S. Version),Me & U,7k6IzwMGpxnRghE7YosnXT,0.803,0.454,8,-4.802,0,0.0294,0,0.0655,0.739,99.99,192213,4,0.352,78,8/7/06,upbeat
104,Shakira,She Wolf (Expanded Edition),She Wolf,4cS2HQ6jK80vqdY9ofpztx,0.865,0.69,7,-7.448,1,0.0443,0.0162,0.225,0.867,121.983,188867,4,0.285,77,2009,upbeat
105,CHINCHILLA,Little Girl Gone,Little Girl Gone,5OLcsBO28uWHMzS0EEeZNp,0.706,0.675,1,-6.351,0,0.237,0,0.0852,0.516,159.961,188596,4,0.177,77,4/21/23,upbeat
106,Rihanna,Rated R,Rude Boy,60jzFy6Nn4M0iD1d94oteF,0.563,0.75,11,-4.496,1,0.127,0,0.0788,0.812,173.906,222920,4,0.113,81,11/20/09,upbeat
107,Ice Spice,Like..?,Gangsta Boo (with Lil Tjay),2g5q0UpOOFMNOcHGaMG4b0,0.873,0.578,1,-7.397,1,0.272,0,0.0953,0.765,147.074,159371,4,0.139,70,1/20/23,upbeat
108,ROSALÍA,MOTOMAMI,BIZCOCHITO,4kXxEhuatrvwrTQycA7s9B,0.93,0.774,1,-4.203,1,0.0744,0.0238,0.12,0.781,116.972,109120,4,0.605,77,3/18/22,upbeat
109,TiaCorine,FreakyT (feat. Latto) [Remix],FreakyT (feat. Latto) - Remix,451acSEXA7pfbMKXoC6vJX,0.799,0.459,10,-8.715,0,0.202,4.46E-06,0.113,0.349,142.962,149385,4,0.269,67,4/21/23,upbeat
110,Saweetie,THE SINGLE LIFE,BO$$ CHICK,0FAKS4dY2MADctcsPbmUvm,0.799,0.61,9,-11.62,1,0.385,0,0.349,0.807,180.08,134760,4,0.0743,65,11/18/22,upbeat
111,Chlöe,Body Do,Body Do,4TiUFzVFDc17Gt0m1ktH2N,0.802,0.632,8,-5.363,1,0.0366,0.0954,0.366,0.726,120.977,142810,4,0.139,62,3/24/23,upbeat
112,Doechii,What It Is (Versions),What It Is (Solo Version),73RbfOTJIjHzi2pcVHjeHM,0.74,0.758,1,-5.851,0,0.0921,1.44E-06,0.0967,0.757,171.925,189825,4,0.061,74,3/17/23,upbeat
113,Ktlyn,HOT,HOT,38gSLIGyzkLKykkG4S72v5,0.935,0.447,9,-6.815,1,0.16,0,0.13,0.437,99.98,152427,4,0.087,55,12/9/22,upbeat
114,Ice Spice,In Ha Mood,In Ha Mood,0yUaLqhsVsguBpoOPL4cO7,0.768,0.74,0,-6.595,1,0.336,6.81E-06,0.23,0.532,141.059,129362,4,0.696,84,1/6/23,upbeat
115,BIA,I'M THAT BITCH,I'M THAT BITCH,39uEuUEWsAZtozSQRPlf62,0.813,0.636,7,-6.173,0,0.21,0,0.129,0.723,140.948,152043,4,0.328,71,3/24/23,upbeat
116,RAYE,Escapism.,Escapism. - Sped Up,3XCpS4k8WqNnCpcDOSRRuz,0.435,0.768,6,-5.352,0,0.201,0.000231,0.0918,0.378,107.588,239888,4,0.0857,80,12/7/22,upbeat
117,Sexyy Red,Pound Town (and Tay Keith),Pound Town (and Tay Keith),4KSRdah26ypIXVNZPHmzO3,0.59,0.675,2,-7.95,1,0.458,0,0.167,0.443,178.41,129467,4,0.389,69,1/27/23,upbeat
118,Lola Brooke,Don't Play With It (feat. Latto & Yung Miami) [Remix],Don't Play With It (feat. Latto & Yung Miami) - Remix,7rl489EKnUgITmkBd6P9zi,0.776,0.688,1,-5.75,1,0.127,0,0.0757,0.43,99.122,179533,4,0.00645,68,3/24/23,upbeat
119,Beyoncé,RENAISSANCE,AMERICA HAS A PROBLEM,2XMAWynSTIst5KmLSv0Npf,0.789,0.614,1,-6.491,1,0.0579,0.00152,0.283,0.108,126.035,198898,4,0.00348,79,7/29/22,upbeat
120,Rihanna,Talk That Talk,Where Have You Been,5WQQIDU3HRaMyPkob8mpFb,0.719,0.847,0,-6.34,0,0.0916,0.0204,0.221,0.444,127.963,242680,4,0.00201,79,11/18/11,upbeat
121,Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd,Peppers (feat. Tommy Genesis),2Rlso2ZNV0PaWwUYeeBYxx,0.487,0.515,4,-11.767,0,0.19,0.176,0.111,0.35,156.738,248928,4,0.633,80,3/24/23,upbeat
122,Sophie Powers,Nosebleed,Nosebleed,1ElDn0WlZ4ELXHksk0Z8mu,0.757,0.479,2,-6.084,1,0.242,0,0.0837,0.873,168.044,133000,4,0.0262,56,3/31/23,upbeat
123,Latto,Lottery (feat. LU KALA),Lottery (feat. LU KALA),1JUtrCqYzJ80tcAzMbCvir,0.792,0.874,1,-2.966,1,0.0852,0.000365,0.071,0.934,113.969,186762,4,0.0158,77,2/17/23,upbeat
124,Flo Milli,Bed Time (feat. Monaleo & Gloss Up),Bed Time (feat. Monaleo & Gloss Up),5H7IzRvSCGY2p7jjuCu6g1,0.889,0.814,2,-4.549,1,0.0645,1.91E-05,0.0709,0.337,109.965,220444,4,0.15,62,3/23/23,upbeat
