,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,acousticness,popularity,album_release_date,vibe
1814,Arinity,Seasons,Seasons,7IQgAVMaCu0ImfMnKV7Xik,0.625,0.838,11,-8.914,1,0.0392,0.926,0.11,0.0879,114.965,153533,4,0.0052,57,2/14/23,chill
1815,Nora En Pure,Gratitude,Gratitude,5CvaeEX9dU9ZhwyoVIIgTO,0.618,0.943,10,-6.848,0,0.044,0.964,0.185,0.0915,123.989,210000,4,0.105,57,8/12/22,chill
1816,Le Youth,Lost,Lost,4HWadIQagwXOjf14aUD6qg,0.578,0.743,2,-9.046,1,0.0348,0.35,0.0843,0.136,120.998,287812,4,0.138,57,1/19/23,chill
1817,Shallou,Heartaches,Heartaches,1hBvUKlvyia60edCcBsxkv,0.764,0.489,7,-9.41,1,0.0332,0.00176,0.0894,0.496,119.953,207628,4,0.249,57,9/10/21,chill
1818,Lane 8,Woman,Woman,477nsrJgEucX7WEdxc149q,0.672,0.668,8,-8.702,1,0.0314,0.857,0.0957,0.184,123.997,627097,4,0.183,57,3/23/23,chill
1819,Emmit Fenn,Friends,Friends,0BwDF0PRX9skmZ0BUWmLOF,0.813,0.541,6,-10.949,1,0.059,0.000416,0.0668,0.235,129.956,186644,4,0.301,56,4/14/23,chill
1820,AVAION,Where did you go,Where did you go,0CUR9GVPMJmzz9r887N4UV,0.624,0.662,0,-9.403,0,0.048,0.0172,0.0887,0.393,124.029,168000,4,0.0813,56,4/28/23,chill
1821,pølaroit,Tal,Tal,0i15aMXiEJd6IOBOJ0JtiH,0.655,0.588,10,-13.824,1,0.0384,0.867,0.101,0.0373,119.995,291125,4,0.28,56,4/14/23,chill
1822,Angrybaby,HOLD YOU,HOLD YOU,5YOcEEKHgs1IgqudZ5vx8Q,0.686,0.824,1,-5.982,1,0.0352,0.214,0.457,0.394,131.982,174545,4,0.0156,56,2/23/23,chill
1823,Shallou,High Tide,High Tide,1JdScfytE2eaLeVJ7a7KUQ,0.563,0.611,7,-8.436,0,0.0292,0.469,0.117,0.105,118.941,197151,4,0.0239,56,10/22/21,chill
1824,TWO LANES,Rolling Back (Durante Remix),Rolling Back,335EcT0oI5889ZgM0q413d,0.688,0.619,8,-12.742,1,0.0427,0.521,0.0875,0.0416,118.039,238000,4,0.391,56,12/10/21,chill
1825,Lane 8,Red Lights (EMBRZ Remix),Red Lights - EMBRZ Remix,5LRkGpPO2dYjqByYu7AsmD,0.793,0.605,4,-8.901,1,0.042,0.755,0.103,0.314,124.012,206000,4,0.554,56,3/17/22,chill
1826,Ben Böhmer,Beyond Beliefs,Beyond Beliefs,0SbDNXZYqfsMarINcb72X5,0.652,0.602,1,-13.98,1,0.0338,0.942,0.186,0.0399,124.012,313587,4,0.709,56,7/7/21,chill
1827,ODESZA,Light Of Day,Light Of Day,58sa3HUZL71gpMB6XvhaUo,0.419,0.635,9,-5.911,1,0.0441,0.592,0.44,0.0375,107.878,400130,4,0.392,56,7/13/22,chill
1828,CRi,Something About,Something About,5z3Qr6kEyJiZhB0WHJSmCQ,0.703,0.571,0,-8.119,0,0.05,0.214,0.123,0.735,124.039,224827,4,0.067,55,3/4/22,chill
1829,Farsjön,Fjäderlätt,Tjärnheden,2YFtpiy2WoAQVQbM1SIwES,0.435,0.00661,11,-32.108,0,0.0433,0.939,0.102,0.203,95.626,100441,3,0.993,73,11/3/22,chill
1830,Libor Kolman,Quand vous souriez,Quand vous souriez,3VM35337X7Ro1tesUHnZ95,0.484,0.059,1,-25.084,0,0.0517,0.948,0.106,0.308,89.329,118250,3,0.996,72,8/12/22,chill
1831,M. Ljungström,Nostalgia,Allena,4xO3mTbZDnaDSJtRdgzXQc,0.364,0.0168,5,-30.767,0,0.0423,0.912,0.103,0.309,138.477,99853,3,0.992,71,11/26/22,chill
1832,Emanuel Fremont,Saying Things,Saying Things,2bjQvSk5T3A2dmnqqeRhzI,0.307,0.0381,11,-28.197,1,0.0423,0.945,0.104,0.0631,72.453,123500,5,0.993,71,4/1/22,chill
1833,Janet Redger,Glance Out A Casement Window,Glance Out A Casement Window,5hFkGfx038V0LhqI0Uff2J,0.384,0.0189,1,-31.119,1,0.0395,0.947,0.0967,0.0834,62.479,130166,4,0.992,71,1/27/23,chill
1834,Elinaura,Heart Open & Oak Bluffs,Oaks Bluffs,0jSUVrvKQ0qF8ee1usL34M,0.366,0.108,7,-20.698,1,0.0387,0.937,0.0949,0.435,174.925,117016,4,0.994,71,10/21/22,chill
1835,Jonas Hoffmann,pæoner,pæoner,4516jKqIrGNIShWH3WBqmd,0.323,0.00851,7,-35.211,1,0.0434,0.927,0.0879,0.341,135.492,112885,3,0.994,70,12/13/22,chill
1836,Allysium,This Tender Appeal,This Tender Appeal,3RI7rnK1YgmyRcXq9pkMqQ,0.435,0.0404,4,-26.262,1,0.0358,0.96,0.0952,0.193,95.929,168499,4,0.984,66,3/24/23,chill
