,track_uri,artist_uri,genres
561,78DSnVdZiuakQPwV0ler7s,70ZTdbPEcEugBNay4MvxfL,mellow gold
561,78DSnVdZiuakQPwV0ler7s,70ZTdbPEcEugBNay4MvxfL,singer-songwriter
561,78DSnVdZiuakQPwV0ler7s,70ZTdbPEcEugBNay4MvxfL,soft rock
562,40gxMiWbTEZUa6c2bGlBJz,25tMQOrIU4LlUo6Sv8v5SE,irish pop
563,1Y3LN4zO1Edc2EluIoSPJN,5XKFrudbV4IiuE5WuTPRmT,gen z singer-songwriter
564,5dsKr9alhhAo5dAF1tfBRT,5twhJoJJtAOsHl6KQjji8Z,acoustic cover
565,6nRvgo4ySezQKD1D7NIqAu,32vWCbZh0xZ4o9gkz4PsEU,classic country pop
565,6nRvgo4ySezQKD1D7NIqAu,32vWCbZh0xZ4o9gkz4PsEU,country
565,6nRvgo4ySezQKD1D7NIqAu,32vWCbZh0xZ4o9gkz4PsEU,country dawn
566,77bNe6jYY8yHdP7orXrz5I,32vWCbZh0xZ4o9gkz4PsEU,classic country pop
566,77bNe6jYY8yHdP7orXrz5I,32vWCbZh0xZ4o9gkz4PsEU,country
566,77bNe6jYY8yHdP7orXrz5I,32vWCbZh0xZ4o9gkz4PsEU,country dawn
567,2tGvwE8GcFKwNdAXMnlbfl,1McMsnEElThX1knmY4oliG,pop
568,54MXF9I8s3DuiQo3g0gZ5k,4iJLPqClelZOBCBifm8Fzv,modern rock
568,54MXF9I8s3DuiQo3g0gZ5k,4iJLPqClelZOBCBifm8Fzv,pop punk
568,54MXF9I8s3DuiQo3g0gZ5k,4iJLPqClelZOBCBifm8Fzv,screamo
569,0TFBANCgctg5hAt9ez2V2g,2O0Hw1WSMbskB5tD9aWah3,classic soul
569,0TFBANCgctg5hAt9ez2V2g,2O0Hw1WSMbskB5tD9aWah3,disco
569,0TFBANCgctg5hAt9ez2V2g,2O0Hw1WSMbskB5tD9aWah3,funk
569,0TFBANCgctg5hAt9ez2V2g,2O0Hw1WSMbskB5tD9aWah3,motown
569,0TFBANCgctg5hAt9ez2V2g,2O0Hw1WSMbskB5tD9aWah3,philly soul
569,0TFBANCgctg5hAt9ez2V2g,2O0Hw1WSMbskB5tD9aWah3,quiet storm
569,0TFBANCgctg5hAt9ez2V2g,2O0Hw1WSMbskB5tD9aWah3,soul
570,3rWDp9tBPQR9z6U5YyRSK4,06HL4z0CvFAxyc27GXpf02,pop
571,0sY6ZUTh4yoctD8VIXz339,06HL4z0CvFAxyc27GXpf02,pop
572,1tL40tfdtUaSLek4DvDDr3,1TJbmc7jTpw78GKCiMpvDh,san marcos tx indie
573,4qCySCQyiyLT2mVUOM2zdS,1McMsnEElThX1knmY4oliG,pop
574,6bosHEOlFSNUoBSynAlyps,5j5G6aCjRNizjNQKjf2PTB,acoustic cover
575,0zZQ9lSF4d4lT9FRS85Yw3,2O0Hw1WSMbskB5tD9aWah3,classic soul
575,0zZQ9lSF4d4lT9FRS85Yw3,2O0Hw1WSMbskB5tD9aWah3,disco
575,0zZQ9lSF4d4lT9FRS85Yw3,2O0Hw1WSMbskB5tD9aWah3,funk
575,0zZQ9lSF4d4lT9FRS85Yw3,2O0Hw1WSMbskB5tD9aWah3,motown
575,0zZQ9lSF4d4lT9FRS85Yw3,2O0Hw1WSMbskB5tD9aWah3,philly soul
575,0zZQ9lSF4d4lT9FRS85Yw3,2O0Hw1WSMbskB5tD9aWah3,quiet storm
575,0zZQ9lSF4d4lT9FRS85Yw3,2O0Hw1WSMbskB5tD9aWah3,soul
576,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,alternative rock
576,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,dance rock
576,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,modern rock
576,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,permanent wave
576,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,rock
577,12OLyHDxt6dqlAybSPFBK3,4GNC7GD6oZMSxPGyXy4MNB,pop
577,12OLyHDxt6dqlAybSPFBK3,4GNC7GD6oZMSxPGyXy4MNB,uk pop
578,3VEFybccRTeWSZRkJxDuNR,1lZvg4fNAqHoj6I9N8naBM,alternative rock
578,3VEFybccRTeWSZRkJxDuNR,1lZvg4fNAqHoj6I9N8naBM,grunge
578,3VEFybccRTeWSZRkJxDuNR,1lZvg4fNAqHoj6I9N8naBM,pop rock
579,6aBiU9lFd3BhtggI7aeqBI,7d7q5Y1p2QWS4QRAhTQR5E,adult standards
579,6aBiU9lFd3BhtggI7aeqBI,7d7q5Y1p2QWS4QRAhTQR5E,canadian country
579,6aBiU9lFd3BhtggI7aeqBI,7d7q5Y1p2QWS4QRAhTQR5E,canadian pop
579,6aBiU9lFd3BhtggI7aeqBI,7d7q5Y1p2QWS4QRAhTQR5E,classic country pop
579,6aBiU9lFd3BhtggI7aeqBI,7d7q5Y1p2QWS4QRAhTQR5E,mellow gold
579,6aBiU9lFd3BhtggI7aeqBI,7d7q5Y1p2QWS4QRAhTQR5E,soft rock
580,7d0bJhpp0mCYyMXaMgWyMS,7dq8KEwf0kQXJhM79iwcPh,
581,4qKLJUX5N14OJnmgcNG4cy,4Ui2kfOqGujY81UcPrb5KE,indietronica
581,4qKLJUX5N14OJnmgcNG4cy,4Ui2kfOqGujY81UcPrb5KE,metropopolis
582,2ozTcQyZQmm9tSmc4VZfwU,5N6GwJzOcOY5kv8p0NjhYL,adult standards
582,2ozTcQyZQmm9tSmc4VZfwU,5N6GwJzOcOY5kv8p0NjhYL,brill building pop
582,2ozTcQyZQmm9tSmc4VZfwU,5N6GwJzOcOY5kv8p0NjhYL,bubblegum pop
582,2ozTcQyZQmm9tSmc4VZfwU,5N6GwJzOcOY5kv8p0NjhYL,easy listening
582,2ozTcQyZQmm9tSmc4VZfwU,5N6GwJzOcOY5kv8p0NjhYL,rockabilly
582,2ozTcQyZQmm9tSmc4VZfwU,5N6GwJzOcOY5kv8p0NjhYL,soft rock
583,3i2Q3cFdFzJ39nV9sAt3Pc,21mKp7DqtSNHhCAU2ugvUw,chillwave
583,3i2Q3cFdFzJ39nV9sAt3Pc,21mKp7DqtSNHhCAU2ugvUw,edm
583,3i2Q3cFdFzJ39nV9sAt3Pc,21mKp7DqtSNHhCAU2ugvUw,indietronica
584,2Oycxb8QbPkpHTo8ZrmG0B,5YGY8feqx7naU7z4HrwZM6,pop
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,album rock
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,classic rock
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,heartland rock
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,mellow gold
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,piano rock
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,rock
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,singer-songwriter
585,3Ie2eLOIj2IhKnzPwXrLbJ,6zFYqv1mOsgBRQbae3JJ9e,soft rock
586,6z7fZRrQfOH3ZjWEkC4QhC,0p4nmQO2msCgU4IF37Wi3j,canadian pop
586,6z7fZRrQfOH3ZjWEkC4QhC,0p4nmQO2msCgU4IF37Wi3j,candy pop
