,track_uri,artist_uri,genres
627,7tqhbajSfrz2F7E1Z75ASX,3koiLjNrgRTNbOwViDipeA,soul
628,2NbUDftyUv4c3FcVH3J9pp,4RVnAU35WRWra6OZ3CbbMA,australian dance
628,2NbUDftyUv4c3FcVH3J9pp,4RVnAU35WRWra6OZ3CbbMA,australian pop
628,2NbUDftyUv4c3FcVH3J9pp,4RVnAU35WRWra6OZ3CbbMA,dance pop
628,2NbUDftyUv4c3FcVH3J9pp,4RVnAU35WRWra6OZ3CbbMA,eurodance
628,2NbUDftyUv4c3FcVH3J9pp,4RVnAU35WRWra6OZ3CbbMA,new wave pop
629,4Xl2PrS3DJqqSKXCo6Uhv9,70cRZdQywnSFp9pnc2WTCE,classic rock
629,4Xl2PrS3DJqqSKXCo6Uhv9,70cRZdQywnSFp9pnc2WTCE,folk
629,4Xl2PrS3DJqqSKXCo6Uhv9,70cRZdQywnSFp9pnc2WTCE,folk rock
629,4Xl2PrS3DJqqSKXCo6Uhv9,70cRZdQywnSFp9pnc2WTCE,melancholia
